"#{""t_start"": 1543729345.3484435"," ""env_id"": ""BaxterReachEnv-v11""}",
r,l,t
-121.095786,100,1307.657413
-139.753806,100,1309.799968
-124.986913,100,1312.243594
-102.33669,100,1314.546225
-121.060867,100,1317.028069
-121.280301,100,1319.408996
-104.872054,100,1321.664998
-124.49927,100,1324.139731
-131.548205,100,1326.473971
-128.80849,100,1328.772089
-111.393728,100,1331.152503
-116.222836,100,1333.529681
-102.982384,100,1336.192337
-112.981356,100,1338.379822
-123.038162,100,1340.737929
-123.13284,100,1343.097126
-123.165313,100,1345.678985
-121.507838,100,1348.114322
-134.017199,100,1350.505745
-127.095769,100,1352.882302
-124.496729,100,1355.344123
-128.68097,100,1357.726271
-131.322712,100,1360.117849
-132.854518,100,1362.502689
-99.368255,100,1364.784173
-130.077768,100,1367.155746
-132.723615,100,1369.354602
-139.387188,100,1371.701437
-134.950226,100,1374.056307
-129.564282,100,1376.530375
-133.727458,100,1378.906508
-125.025466,100,1381.127528
-125.22416,100,1383.632951
-133.167448,100,1385.876304
-133.406755,100,1388.211863
-127.388403,100,1390.56932
-138.597277,100,1393.0215
-129.889256,100,1395.614448
-133.092747,100,1397.913813
-128.510575,100,1400.223385
-133.373926,100,1402.60673
-132.837066,100,1404.883655
-127.392281,100,1407.322177
-122.904867,100,1409.663142
-84.021166,100,1412.059743
-132.817082,100,1414.51164
-134.094169,100,1416.810358
-126.171824,100,1419.319535
-128.846048,100,1421.742404
-127.990085,100,1424.062966
-129.498269,100,1426.253823
-150.210336,100,1428.490856
-128.461469,100,1430.936419
-114.302231,100,1433.349487
-131.372292,100,1435.698803
-140.888979,100,1438.081171
-129.264233,100,1440.217535
-121.513984,100,1442.823662
-136.863059,100,1445.233943
-129.990772,100,1447.604342
-137.468548,100,1450.04872
-131.896999,100,1452.477994
-132.715989,100,1454.863158
-124.565504,100,1457.236052
-124.778342,100,1459.50575
-135.609854,100,1461.794797
-133.016852,100,1464.108251
-129.91481,100,1466.494818
-94.846444,100,1468.644078
-131.119823,100,1471.05906
-133.5818,100,1473.41073
-140.419658,100,1475.689048
-131.839869,100,1478.053115
-148.433391,100,1480.218701
-114.882238,100,1482.356274
-133.116009,100,1484.758318
-131.891669,100,1487.17417
-146.487055,100,1489.458857
-133.126996,100,1491.835898
-136.382056,100,1494.196737
-129.469143,100,1496.654962
-138.090942,100,1498.952341
-134.335016,100,1501.320625
-114.39264,100,1503.594831
-130.37318,100,1506.01304
-131.485388,100,1508.272691
-136.481755,100,1510.717087
